QAS_File,Average Cosine,Highest Cosine,Median Cosine,Average Jaccard,Highest Jaccard,Median Jaccard
qas_70_table_8.txt,0.09440183161249224,0.113133107327867,0.09440183161249224,0.1318681318681318,0.1428571428571428,0.1318681318681318
qas_70_table_12.txt,0.061769408895690256,0.0731880511862028,0.061769408895690256,0.07239819004524888,0.0784313725490196,0.07239819004524888
qas_79_table_3.txt,0.10022017315752048,0.1172337072928656,0.10022017315752048,0.13981481481481478,0.1481481481481481,0.13981481481481478
qas_79_table_5.txt,0.12036161353869587,0.1436299003615251,0.12036161353869587,0.16413043478260864,0.1739130434782608,0.16413043478260864
qas_79_table_4.txt,0.11180396094783776,0.1297560524604102,0.11180396094783776,0.13981481481481478,0.1481481481481481,0.13981481481481478
qas_73_table_10.txt,0.11729706169826465,0.1380705920941088,0.11729706169826465,0.17251461988304084,0.2105263157894736,0.17251461988304084
qas_73_table_7.txt,0.10182352781656978,0.1254068599490747,0.10182352781656978,0.11706349206349202,0.1428571428571428,0.11706349206349202
qas_73_table_9.txt,0.10195097969872943,0.1216838658841531,0.10195097969872943,0.12139917695473249,0.1481481481481481,0.12139917695473249
qas_73_table_6.txt,0.09726329294287066,0.1249856512283916,0.09726329294287066,0.14251207729468596,0.1739130434782608,0.14251207729468596
qas_73_table_8.txt,0.09960333937145494,0.1172615825851511,0.09960333937145494,0.14251207729468596,0.1739130434782608,0.14251207729468596
qas_73_table_12.txt,0.09878590389257169,0.1300590772116972,0.09878590389257169,0.11706349206349202,0.1428571428571428,0.11706349206349202
qas_73_table_1.txt,0.09325910460230877,0.1186754468012734,0.09325910460230877,0.14251207729468596,0.1739130434782608,0.14251207729468596
qas_73_table_13.txt,0.09287733407668858,0.1204471991749198,0.09287733407668858,0.14251207729468596,0.1739130434782608,0.14251207729468596
qas_73_table_5.txt,0.10254146579667181,0.1355613011648653,0.10254146579667181,0.11302681992337159,0.1379310344827586,0.11302681992337159
qas_73_table_11.txt,0.08721055877421657,0.0945578664643296,0.08721055877421657,0.07804232804232801,0.0952380952380952,0.07804232804232801
qas_73_table_2.txt,0.08340215962832342,0.1042933668415821,0.08340215962832342,0.12139917695473249,0.1481481481481481,0.12139917695473249
qas_73_table_4.txt,0.0847030466667072,0.1135334433764781,0.0847030466667072,0.14251207729468596,0.1739130434782608,0.14251207729468596
qas_73_table_3.txt,0.06597203432330373,0.081322867734088,0.06597203432330373,0.05750487329434695,0.0701754385964912,0.05750487329434695
qas_41_table_3.txt,0.10570164287448322,0.1272478119964675,0.10570164287448322,0.16212232866617532,0.1739130434782608,0.16212232866617532
qas_41_table_2.txt,0.09575010942166728,0.1147670490000273,0.09575010942166728,0.13810420590081604,0.1481481481481481,0.13810420590081604
qas_41_table_9.txt,0.06556355328024802,0.0833085688475,0.06556355328024802,0.0677966101694915,0.0727272727272727,0.0677966101694915
qas_41_table_10.txt,0.0961437174235083,0.1354720860103833,0.0961437174235083,0.16212232866617532,0.1739130434782608,0.16212232866617532
qas_41_table_6.txt,0.08283205807768863,0.1029298850421542,0.08283205807768863,0.13810420590081604,0.1481481481481481,0.13810420590081604
qas_41_table_8.txt,0.10601547457957813,0.1320036143565763,0.10601547457957813,0.13810420590081604,0.1481481481481481,0.13810420590081604
qas_41_table_5.txt,0.0820313160000086,0.1082010670866143,0.0820313160000086,0.07035497281739682,0.0754716981132075,0.07035497281739682
qas_41_table_7.txt,0.06634696816949777,0.08603814581553,0.06634696816949777,0.08671659440283794,0.0930232558139534,0.08671659440283794
qas_41_table_1.txt,0.17049626119490655,0.2122207096987693,0.17049626119490655,0.5326876513317191,0.5714285714285714,0.5326876513317191
qas_41_table_4.txt,0.05859267361233444,0.0771918947334542,0.05859267361233444,0.07311399135925555,0.0784313725490196,0.07311399135925555
qas_42_table_4.txt,0.08422345126053692,0.1045443258947956,0.08422345126053692,0.09107142857142855,0.1142857142857142,0.09107142857142855
qas_42_table_7.txt,0.08732235992898463,0.1099160172377965,0.08732235992898463,0.1099137931034482,0.1379310344827586,0.1099137931034482
qas_42_table_9.txt,0.09495057442481705,0.1218426641880671,0.09495057442481705,0.16776315789473678,0.2105263157894736,0.16776315789473678
qas_42_table_8.txt,0.08777933160154423,0.1093838555714123,0.08777933160154423,0.09659090909090909,0.1212121212121212,0.09659090909090909
qas_42_table_3.txt,0.09814194265659311,0.1295359958389466,0.09814194265659311,0.13858695652173908,0.1739130434782608,0.13858695652173908
qas_42_table_2.txt,0.07730037904727949,0.1010746948407844,0.07730037904727949,0.0817307692307692,0.1025641025641025,0.0817307692307692
qas_42_table_1.txt,0.08751186701227175,0.1134834972424528,0.08751186701227175,0.099609375,0.125,0.099609375
qas_42_table_6.txt,0.06908355161798425,0.0836136094825372,0.06908355161798425,0.059027777777777714,0.074074074074074,0.059027777777777714
qas_42_table_5.txt,0.08729518183387774,0.1038703043930175,0.08729518183387774,0.09659090909090909,0.1212121212121212,0.09659090909090909
qas_38_table_4.txt,0.29250896118189035,0.3575119154830066,0.29250896118189035,0.7972972972972973,1.0,0.7972972972972973
qas_38_table_2.txt,0.07687287091577584,0.0959984364652923,0.07687287091577584,0.0907335907335907,0.0952380952380952,0.0907335907335907
qas_38_table_1.txt,0.05907034446939485,0.0727744294940273,0.05907034446939485,0.07777164920022056,0.0816326530612244,0.07777164920022056
qas_84_table_1.txt,0.08186536623468359,0.1068972561729561,0.08186536623468359,0.0952380952380952,0.1025641025641025,0.0952380952380952
qas_67_table_10.txt,0.09783750304526599,0.1074821536510938,0.09783750304526599,0.14087301587301582,0.1428571428571428,0.14087301587301582
qas_67_table_1.txt,0.0939483559401775,0.1043371987659672,0.0939483559401775,0.08765432098765423,0.0888888888888888,0.08765432098765423
qas_67_table_4.txt,0.11182968055208001,0.1257643983593298,0.11182968055208001,0.136015325670498,0.1379310344827586,0.136015325670498
qas_67_table_12.txt,0.10467953658769173,0.1155132765517629,0.10467953658769173,0.17149758454106273,0.1739130434782608,0.17149758454106273
qas_67_table_11.txt,0.1370743161126516,0.1608736963970403,0.1370743161126516,0.16435185185185178,0.1666666666666666,0.16435185185185178
qas_67_table_2.txt,0.10523107161763481,0.1167698450169193,0.10523107161763481,0.14609053497942381,0.1481481481481481,0.14609053497942381
qas_67_table_3.txt,0.13447174674310858,0.1464501692424956,0.13447174674310858,0.2629629629629629,0.2666666666666666,0.2629629629629629
