TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,key column
0,6,PERSON,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,0
1,6,PERSON,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,PERSON,0
2,6,PERSON,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,,0
