Name,URL1,URL2,First Category
Chris O'Neil,https://fr.wikipedia.org/?curid=1017764,https://fr.wikipedia.org/wiki/Chris O'Neil,Article \u00e0 illustrer Joueur de tennis
Wilma Lipp,https://fr.wikipedia.org/?curid=10177668,https://fr.wikipedia.org/wiki/Wilma Lipp,Page utilisant P569
Victoria Macaulay,https://fr.wikipedia.org/?curid=10175193,https://fr.wikipedia.org/wiki/Victoria Macaulay,Article \u00e0 illustrer Joueur de basket-ball
Florenta Mihai,https://fr.wikipedia.org/?curid=1016032,https://fr.wikipedia.org/wiki/Florenta Mihai,Article utilisant une Infobox
Chahinez Nasri,https://fr.wikipedia.org/?curid=10156317,https://fr.wikipedia.org/wiki/Chahinez Nasri,Wikip\u00e9dia:\u00e9bauche athl\u00e8te tunisien
Ana Ularu,https://fr.wikipedia.org/?curid=10162942,https://fr.wikipedia.org/wiki/Ana Ularu,Article utilisant une Infobox
Carla Couto,https://fr.wikipedia.org/?curid=10159381,https://fr.wikipedia.org/wiki/Carla Couto,Wikip\u00e9dia:\u00e9bauche footballeuse
Le\u00efla Kilani,https://fr.wikipedia.org/?curid=10143135,https://fr.wikipedia.org/wiki/Le\u00efla Kilani,Page utilisant P569
Yayuk Basuki,https://fr.wikipedia.org/?curid=1015712,https://fr.wikipedia.org/wiki/Yayuk Basuki,Article utilisant une Infobox
Suzanne Morrow,https://fr.wikipedia.org/?curid=1015411,https://fr.wikipedia.org/wiki/Suzanne Morrow,Page utilisant P569
Joselyn Dumas,https://fr.wikipedia.org/?curid=10154202,https://fr.wikipedia.org/wiki/Joselyn Dumas,Wikip\u00e9dia:\u00e9bauche acteur ghan\u00e9en
Carolle Zahi,https://fr.wikipedia.org/?curid=10146321,https://fr.wikipedia.org/wiki/Carolle Zahi,Article utilisant une Infobox
Uche Jombo,https://fr.wikipedia.org/?curid=10148186,https://fr.wikipedia.org/wiki/Uche Jombo,Wikip\u00e9dia:\u00e9bauche acteur nig\u00e9rian
Stella Damasus-Aboderin,https://fr.wikipedia.org/?curid=10149966,https://fr.wikipedia.org/wiki/Stella Damasus-Aboderin,Wikip\u00e9dia:\u00e9bauche acteur nig\u00e9rian
Laurence Eusden,https://fr.wikipedia.org/?curid=1015002,https://fr.wikipedia.org/wiki/Laurence Eusden,Article \u00e0 v\u00e9rifier/biographie
Suranne Jones,https://fr.wikipedia.org/?curid=10145219,https://fr.wikipedia.org/wiki/Suranne Jones,Article utilisant une Infobox
Petra Kamstra,https://fr.wikipedia.org/?curid=1081379,https://fr.wikipedia.org/wiki/Petra Kamstra,Article \u00e0 illustrer Joueur de tennis
Alexandra Burghardt,https://fr.wikipedia.org/?curid=10815022,https://fr.wikipedia.org/wiki/Alexandra Burghardt,Wikip\u00e9dia:\u00e9bauche athl\u00e8te allemand
Elsa Jean,https://fr.wikipedia.org/?curid=10856044,https://fr.wikipedia.org/wiki/Elsa Jean,Page du mod\u00e8le Lien web comportant une erreur
\u00c9l\u00e9onore Cordier,https://fr.wikipedia.org/?curid=10857626,https://fr.wikipedia.org/wiki/\u00c9l\u00e9onore Cordier,Article manquant de r\u00e9f\u00e9rences depuis mai 2017
Fat Cat (chanteuse),https://fr.wikipedia.org/?curid=10853320,https://fr.wikipedia.org/wiki/Fat Cat (chanteuse),Article contenant un lien mort
Liste des m\u00e9daill\u00e9s olympiques en water-polo,https://fr.wikipedia.org/?curid=10847492,https://fr.wikipedia.org/wiki/Liste des m\u00e9daill\u00e9s olympiques en water-polo,Article contenant un appel \u00e0 traduction en anglais
Marine Tondelier,https://fr.wikipedia.org/?curid=10847867,https://fr.wikipedia.org/wiki/Marine Tondelier,Article contenant un lien mort
Kirstie Klingenberg,https://fr.wikipedia.org/?curid=10815240,https://fr.wikipedia.org/wiki/Kirstie Klingenberg,Page utilisant P569
Michaela Drummond,https://fr.wikipedia.org/?curid=10815247,https://fr.wikipedia.org/wiki/Michaela Drummond,Page utilisant P569
Eunha,https://fr.wikipedia.org/?curid=10849505,https://fr.wikipedia.org/wiki/Eunha,Article utilisant une Infobox
Tess Ledeux,https://fr.wikipedia.org/?curid=10604353,https://fr.wikipedia.org/wiki/Tess Ledeux,Wikip\u00e9dia:\u00e9bauche ski acrobatique
Lucie Hradeck\u00e1,https://fr.wikipedia.org/?curid=1060445,https://fr.wikipedia.org/wiki/Lucie Hradeck\u00e1,Article utilisant une Infobox
Karin Viard,https://fr.wikipedia.org/?curid=105999,https://fr.wikipedia.org/wiki/Karin Viard,Article utilisant une Infobox
Alma (chanteuse fran\u00e7aise),https://fr.wikipedia.org/?curid=10630886,https://fr.wikipedia.org/wiki/Alma (chanteuse fran\u00e7aise),Wikip\u00e9dia:\u00e9bauche chanteur fran\u00e7ais
Nita Talbot,https://fr.wikipedia.org/?curid=10629054,https://fr.wikipedia.org/wiki/Nita Talbot,Article utilisant une Infobox
Jasmin W\u00f6hr,https://fr.wikipedia.org/?curid=1083440,https://fr.wikipedia.org/wiki/Jasmin W\u00f6hr,Article utilisant une Infobox
Lucile Morat,https://fr.wikipedia.org/?curid=10834673,https://fr.wikipedia.org/wiki/Lucile Morat,Wikip\u00e9dia:\u00e9bauche saut \u00e0 ski
Catherine Barclay-Reitz,https://fr.wikipedia.org/?curid=1084524,https://fr.wikipedia.org/wiki/Catherine Barclay-Reitz,Article utilisant une Infobox
Liste des m\u00e9daill\u00e9s aux Jeux olympiques d'\u00e9t\u00e9 de 1972,https://fr.wikipedia.org/?curid=10843473,https://fr.wikipedia.org/wiki/Liste des m\u00e9daill\u00e9s aux Jeux olympiques d'\u00e9t\u00e9 de 1972,Page utilisant une pr\u00e9sentation en colonnes avec un nombre fixe de colonnes
Adriana Serra Zanetti,https://fr.wikipedia.org/?curid=1084601,https://fr.wikipedia.org/wiki/Adriana Serra Zanetti,Article \u00e0 illustrer Joueur de tennis
Miss USA 2017,https://fr.wikipedia.org/?curid=10864516,https://fr.wikipedia.org/wiki/Miss USA 2017,Article contenant un lien mort
Audrey C. Delsanti,https://fr.wikipedia.org/?curid=1086016,https://fr.wikipedia.org/wiki/Audrey C. Delsanti,Wikip\u00e9dia:\u00e9bauche astronome fran\u00e7ais
Letesenbet Gidey,https://fr.wikipedia.org/?curid=10860653,https://fr.wikipedia.org/wiki/Letesenbet Gidey,Article utilisant une Infobox
Rapha\u00e8le Herbin,https://fr.wikipedia.org/?curid=10862246,https://fr.wikipedia.org/wiki/Rapha\u00e8le Herbin,Page utilisant P569
Tia Jones,https://fr.wikipedia.org/?curid=10854376,https://fr.wikipedia.org/wiki/Tia Jones,Wikip\u00e9dia:\u00e9bauche athl\u00e9tisme
Janja Garnbret,https://fr.wikipedia.org/?curid=10817186,https://fr.wikipedia.org/wiki/Janja Garnbret,Article utilisant une Infobox
Luc Besson,https://fr.wikipedia.org/?curid=10810,https://fr.wikipedia.org/wiki/Luc Besson,Article utilisant une Infobox
Sandra Na\u010duk,https://fr.wikipedia.org/?curid=1081038,https://fr.wikipedia.org/wiki/Sandra Na\u010duk,Article \u00e0 illustrer Joueur de tennis
Ariana Marie,https://fr.wikipedia.org/?curid=10825068,https://fr.wikipedia.org/wiki/Ariana Marie,Article utilisant une Infobox
Jenelle Crooks,https://fr.wikipedia.org/?curid=10839932,https://fr.wikipedia.org/wiki/Jenelle Crooks,Page utilisant P569
Yseult (chanteuse),https://fr.wikipedia.org/?curid=10840243,https://fr.wikipedia.org/wiki/Yseult (chanteuse),Page utilisant P569
Ekaterina Sysoeva,https://fr.wikipedia.org/?curid=1083569,https://fr.wikipedia.org/wiki/Ekaterina Sysoeva,Article \u00e0 illustrer Joueur de tennis
Lioubomira Batcheva,https://fr.wikipedia.org/?curid=1083585,https://fr.wikipedia.org/wiki/Lioubomira Batcheva,Article utilisant une Infobox
Bianka Lamade,https://fr.wikipedia.org/?curid=1083604,https://fr.wikipedia.org/wiki/Bianka Lamade,Article \u00e0 illustrer Joueur de tennis
Beverly Mould,https://fr.wikipedia.org/?curid=1081218,https://fr.wikipedia.org/wiki/Beverly Mould,Article \u00e0 illustrer Joueur de tennis
Helga Masthoff,https://fr.wikipedia.org/?curid=1081242,https://fr.wikipedia.org/wiki/Helga Masthoff,Article manquant de r\u00e9f\u00e9rences depuis ao\u00fbt 2023
Susan Kelechi Watson,https://fr.wikipedia.org/?curid=10821464,https://fr.wikipedia.org/wiki/Susan Kelechi Watson,Wikip\u00e9dia:\u00e9bauche acteur am\u00e9ricain
Marina Visconti,https://fr.wikipedia.org/?curid=10821741,https://fr.wikipedia.org/wiki/Marina Visconti,Article utilisant une Infobox
Romana Tedjakusuma,https://fr.wikipedia.org/?curid=1082960,https://fr.wikipedia.org/wiki/Romana Tedjakusuma,Article utilisant une Infobox
No\u00eblle van Lottum,https://fr.wikipedia.org/?curid=1081367,https://fr.wikipedia.org/wiki/No\u00eblle van Lottum,Article \u00e0 illustrer Joueur de tennis
