URL,title,table_id,matched_title,title_similarity,table_similarity,overall_similarity
http://en.wikipedia.org/?curid=47136227,2009 in Strikeforce - Events list,6364e3c9-3651-4309-bafb-b9bc0be9d9cb,2009 in Strikeforce,73,99,88
http://en.wikipedia.org/?curid=4549489,1884 in baseball - All-Time Statistical Leaders (Strikeouts),8d74c3de-8e8c-4427-9148-a3b6aa79027b,1884 in baseball,42,100,76
http://en.wikipedia.org/?curid=14532,Italy,29be05eb-74b7-409f-8b0e-861002e04b1b,Italy,100,0,40
http://en.wikipedia.org/?curid=33529562,List of flag bearers for Ireland at the Olympics - List of flag bearers,5cd126f7-69ef-44c1-9b33-6417efe9b742,List of flag bearers for Ireland at the Olympics,81,48,61
http://en.wikipedia.org/?curid=28622688,List of NCAA Division I men's basketball career steals leaders - Steals leaders,4c33fb8c-be58-41cd-98d2-291cab3b8043,List of NCAA Division I men's basketball career steals leaders,88,79,82
http://en.wikipedia.org/?curid=1695229,MS Dhoni - Test Cricket,977a31a0-1f50-42d2-9e2e-23913c4c9214,MS Dhoni,52,27,37
http://en.wikipedia.org/?curid=274117,Pro Bowl,187ea3ab-df34-4fac-a62a-473bed690346,Pro Bowl,100,27,56
http://en.wikipedia.org/?curid=31573810,Willy Bocklant - Palmarès,16900cd1-b602-44f0-851d-98eaac7705c7,Willy Bocklant,72,100,88
http://en.wikipedia.org/?curid=54042040,Lakshmi Narasimha Entertainments - Film Production,7ec76897-1263-44af-9243-4d57d98ad69c,Lakshmi Narasimha Entertainments,78,70,73
http://en.wikipedia.org/?curid=31562231,Sydney Sixers - Highest totals,777320e0-ca42-4c3c-94de-5c7da90b3b0c,Sydney Sixers,60,71,66
