URL,title,table_id,matched_title,title_similarity,table_similarity,overall_similarity
http://en.wikipedia.org/?curid=18569105,Athletics At The 2008 Summer Olympics - Men 'S 400 Metres,cb685640-4380-4c2d-b1cb-82568360a669,Athletics at the 2008 Summer Olympics – Men's 400 metres,97,99,97
http://en.wikipedia.org/?curid=17243192,List of best-selling albums in Japan - List of best-selling albums by domestic acts,db5b8158-6788-4907-b266-1a1382bb61ed,List of best-selling albums in Japan,61,69,63
http://en.wikipedia.org/?curid=22271168,List of Triple-A baseball stadiums - International League,eb69a044-1ed9-4e16-8717-adee549af0fa,List of Triple-A baseball stadiums,75,26,60
http://en.wikipedia.org/?curid=39423432,List of NCAA Division I men's ice hockey seasons - Quarterfinals expansion,e4bdfad4-9968-4228-823d-617468899e35,List of NCAA Division I men's ice hockey seasons,79,100,85
http://en.wikipedia.org/?curid=2786412,Somebody Told Me - Accolades,aa718347-5535-4e68-a4c0-a6c77578def0,Somebody Told Me,73,95,79
http://en.wikipedia.org/?curid=44061166,Batman: Endgame - Sales,2687f6b8-f4f7-4492-acd2-5199c739016d,Batman: Endgame,79,98,84
http://en.wikipedia.org/?curid=6998807,LSWR T9 class - Construction table,7e9b5e56-2ebd-495c-9044-e35238155f4d,LSWR T9 class,55,100,68
http://en.wikipedia.org/?curid=24780409,Marvin McNutt - Statistics,1af2eb26-c217-429e-98a0-18e720fa0e79,Marvin McNutt,67,57,64
http://en.wikipedia.org/?curid=43579488,List of Sri Lankan monarchs - House of Lambakanna I (66–436),4b293b9a-1480-47a8-b422-cc02b0ce25f9,Family tree of Sinhalese monarchs,39,0,27
http://en.wikipedia.org/?curid=32541,Vitamin K Deficiency,d307b4ed-aed1-47df-9182-9658da06cb3c,Vitamin K,62,27,51
