TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,key column
0,3,datetime,UNKNOWN,UNKNOWN,,,1.0
1,5,datetime,UNKNOWN,PERSON,PERSON,UNKNOWN,1.0
2,4,datetime,PERSON,UNKNOWN,UNKNOWN,,
3,4,datetime,PERSON,UNKNOWN,UNKNOWN,,
