TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,column_type_8,column_type_9,column_type_10,column_type_11,column_type_12,column_type_13,column_type_14,column_type_15,column_type_16,column_type_17,column_type_18,column_type_19,column_type_20,column_type_21,column_type_22,column_type_23,column_type_24,column_type_25,column_type_26,column_type_27,column_type_28,column_type_29,column_type_30,key column
0,5,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,8,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2,6,RANGE,GPE,GPE,UNKNOWN,UNKNOWN,CARDINAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0
4,30,UNKNOWN,CARDINAL,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,
5,5,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
6,5,GPE,,,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
7,5,UNKNOWN,,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
8,3,GPE,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
