TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,key column
0,4,datetime,UNKNOWN,UNKNOWN,,,,1
1,4,UNKNOWN,datetime,,ORG,,,0
2,6,UNKNOWN,CARDINAL,UNKNOWN,ORG,UNKNOWN,UNKNOWN,0
