Name,URL1,URL2,First Category
Miss Univers Canada 2008,https://fr.wikipedia.org/?curid=10138551,https://fr.wikipedia.org/wiki/Miss Univers Canada 2008,Article utilisant une Infobox
Omawumi,https://fr.wikipedia.org/?curid=10138775,https://fr.wikipedia.org/wiki/Omawumi,Wikip\u00e9dia:\u00e9bauche acteur nig\u00e9rian
Miss Univers Canada 2013,https://fr.wikipedia.org/?curid=10140835,https://fr.wikipedia.org/wiki/Miss Univers Canada 2013,Article utilisant une Infobox
Sydney McLaughlin-Levrone,https://fr.wikipedia.org/?curid=10138163,https://fr.wikipedia.org/wiki/Sydney McLaughlin-Levrone,Article utilisant une Infobox
Nell Carroll,https://fr.wikipedia.org/?curid=1014218,https://fr.wikipedia.org/wiki/Nell Carroll,Article \u00e0 illustrer Sportif
Irma Schmidegg,https://fr.wikipedia.org/?curid=1014223,https://fr.wikipedia.org/wiki/Irma Schmidegg,Article \u00e0 illustrer Sportif
Jeanette Kessler,https://fr.wikipedia.org/?curid=1014230,https://fr.wikipedia.org/wiki/Jeanette Kessler,Article utilisant une Infobox
Yuliya Levchenko,https://fr.wikipedia.org/?curid=10097946,https://fr.wikipedia.org/wiki/Yuliya Levchenko,Article utilisant une Infobox
Ayesha Dharker,https://fr.wikipedia.org/?curid=10098094,https://fr.wikipedia.org/wiki/Ayesha Dharker,Article utilisant une Infobox
Honoka Miki,https://fr.wikipedia.org/?curid=10133048,https://fr.wikipedia.org/wiki/Honoka Miki,Article contenant un lien mort
Shawn Weatherly,https://fr.wikipedia.org/?curid=10133060,https://fr.wikipedia.org/wiki/Shawn Weatherly,Wikip\u00e9dia:\u00e9bauche acteur am\u00e9ricain
Nse Ikpe Etim,https://fr.wikipedia.org/?curid=10133874,https://fr.wikipedia.org/wiki/Nse Ikpe Etim,Article utilisant une Infobox
Tessa van Schagen,https://fr.wikipedia.org/?curid=10135939,https://fr.wikipedia.org/wiki/Tessa van Schagen,Wikip\u00e9dia:\u00e9bauche athl\u00e8te n\u00e9erlandais
Tatsiana Khaladovich,https://fr.wikipedia.org/?curid=10134605,https://fr.wikipedia.org/wiki/Tatsiana Khaladovich,Wikip\u00e9dia:\u00e9bauche athl\u00e8te bi\u00e9lorusse
Susan Peters (actrice nig\u00e9riane),https://fr.wikipedia.org/?curid=10134645,https://fr.wikipedia.org/wiki/Susan Peters (actrice nig\u00e9riane),Wikip\u00e9dia:\u00e9bauche acteur nig\u00e9rian
May Nilsson,https://fr.wikipedia.org/?curid=1013428,https://fr.wikipedia.org/wiki/May Nilsson,Article \u00e0 illustrer Sportif
Sara Kolak,https://fr.wikipedia.org/?curid=10134283,https://fr.wikipedia.org/wiki/Sara Kolak,Article utilisant une Infobox
Helga G\u00f6dl,https://fr.wikipedia.org/?curid=1013430,https://fr.wikipedia.org/wiki/Helga G\u00f6dl,Article \u00e0 illustrer Sportif
Kate Grace,https://fr.wikipedia.org/?curid=10125583,https://fr.wikipedia.org/wiki/Kate Grace,Wikip\u00e9dia:\u00e9bauche athl\u00e8te am\u00e9ricain
Anne-Ga\u00eblle Sidot,https://fr.wikipedia.org/?curid=1012724,https://fr.wikipedia.org/wiki/Anne-Ga\u00eblle Sidot,Article \u00e0 illustrer Joueur de tennis
Rita Dominic,https://fr.wikipedia.org/?curid=10124670,https://fr.wikipedia.org/wiki/Rita Dominic,Wikip\u00e9dia:\u00e9bauche acteur nig\u00e9rian
Kim Bo-kyung (actrice),https://fr.wikipedia.org/?curid=10113413,https://fr.wikipedia.org/wiki/Kim Bo-kyung (actrice),Page utilisant P569
Sylvia Oluchy,https://fr.wikipedia.org/?curid=10130451,https://fr.wikipedia.org/wiki/Sylvia Oluchy,Wikip\u00e9dia:\u00e9bauche acteur nig\u00e9rian
Hands (chanson caritative),https://fr.wikipedia.org/?curid=10130465,https://fr.wikipedia.org/wiki/Hands (chanson caritative),Article contenant un appel \u00e0 traduction en anglais
Yasemin Can,https://fr.wikipedia.org/?curid=10128739,https://fr.wikipedia.org/wiki/Yasemin Can,Wikip\u00e9dia:\u00e9bauche athl\u00e8te turc
William Whitehead,https://fr.wikipedia.org/?curid=1013003,https://fr.wikipedia.org/wiki/William Whitehead,Article manquant de r\u00e9f\u00e9rences depuis janvier 2019
Gwen Berry,https://fr.wikipedia.org/?curid=10130074,https://fr.wikipedia.org/wiki/Gwen Berry,Wikip\u00e9dia:\u00e9bauche athl\u00e8te am\u00e9ricain
Miss Minnesota USA,https://fr.wikipedia.org/?curid=10094235,https://fr.wikipedia.org/wiki/Miss Minnesota USA,Traduction incompl\u00e8te
Sheila Chepkirui,https://fr.wikipedia.org/?curid=10104381,https://fr.wikipedia.org/wiki/Sheila Chepkirui,Wikip\u00e9dia:\u00e9bauche athl\u00e8te k\u00e9nyan
Maryke Brits,https://fr.wikipedia.org/?curid=10104399,https://fr.wikipedia.org/wiki/Maryke Brits,Wikip\u00e9dia:\u00e9bauche athl\u00e8te sud-africain
Dera Dida,https://fr.wikipedia.org/?curid=10104408,https://fr.wikipedia.org/wiki/Dera Dida,Wikip\u00e9dia:\u00e9bauche athl\u00e8te \u00e9thiopien
Veronica Nyaruai,https://fr.wikipedia.org/?curid=10106921,https://fr.wikipedia.org/wiki/Veronica Nyaruai,Page utilisant P569
Evgenia Sidorova,https://fr.wikipedia.org/?curid=1010584,https://fr.wikipedia.org/wiki/Evgenia Sidorova,Article \u00e0 illustrer Sportif
Lucie Carlier,https://fr.wikipedia.org/?curid=10107110,https://fr.wikipedia.org/wiki/Lucie Carlier,Article utilisant une Infobox
Anisha Vekemans,https://fr.wikipedia.org/?curid=10107279,https://fr.wikipedia.org/wiki/Anisha Vekemans,Page utilisant P569
Dorothea Hochleitner,https://fr.wikipedia.org/?curid=1010594,https://fr.wikipedia.org/wiki/Dorothea Hochleitner,Article \u00e0 illustrer Sportif
Adanech Anbesa,https://fr.wikipedia.org/?curid=10106383,https://fr.wikipedia.org/wiki/Adanech Anbesa,Wikip\u00e9dia:\u00e9bauche athl\u00e8te \u00e9thiopien
Maryna Bekh-Romanchuk,https://fr.wikipedia.org/?curid=10097660,https://fr.wikipedia.org/wiki/Maryna Bekh-Romanchuk,Wikip\u00e9dia:\u00e9bauche athl\u00e8te ukrainien
Omolade Akinremi,https://fr.wikipedia.org/?curid=10099565,https://fr.wikipedia.org/wiki/Omolade Akinremi,Wikip\u00e9dia:\u00e9bauche athl\u00e8te nig\u00e9rian
Etalemahu Kidane,https://fr.wikipedia.org/?curid=10099893,https://fr.wikipedia.org/wiki/Etalemahu Kidane,Wikip\u00e9dia:\u00e9bauche athl\u00e8te \u00e9thiopien
Eyerusalem Kuma,https://fr.wikipedia.org/?curid=10099915,https://fr.wikipedia.org/wiki/Eyerusalem Kuma,Wikip\u00e9dia:\u00e9bauche athl\u00e8te \u00e9thiopien
Miss Pennsylvanie USA,https://fr.wikipedia.org/?curid=10095218,https://fr.wikipedia.org/wiki/Miss Pennsylvanie USA,Traduction incompl\u00e8te
Miss Missouri USA,https://fr.wikipedia.org/?curid=10095236,https://fr.wikipedia.org/wiki/Miss Missouri USA,Traduction incompl\u00e8te
Nandita Swetha,https://fr.wikipedia.org/?curid=10098797,https://fr.wikipedia.org/wiki/Nandita Swetha,Article utilisant une Infobox
Rene van der Merwe,https://fr.wikipedia.org/?curid=10098920,https://fr.wikipedia.org/wiki/Rene van der Merwe,Wikip\u00e9dia:\u00e9bauche athl\u00e8te sud-africain
Charmaine Weavers,https://fr.wikipedia.org/?curid=10098951,https://fr.wikipedia.org/wiki/Charmaine Weavers,Wikip\u00e9dia:\u00e9bauche athl\u00e8te sud-africain
Veronica Abrahamse,https://fr.wikipedia.org/?curid=10099012,https://fr.wikipedia.org/wiki/Veronica Abrahamse,Article \u00e0 illustrer Athl\u00e8te
Surita Febbraio,https://fr.wikipedia.org/?curid=10101567,https://fr.wikipedia.org/wiki/Surita Febbraio,Wikip\u00e9dia:\u00e9bauche athl\u00e8te sud-africain
Bouchra Cha\u00e2bi,https://fr.wikipedia.org/?curid=10100390,https://fr.wikipedia.org/wiki/Bouchra Cha\u00e2bi,Wikip\u00e9dia:\u00e9bauche athl\u00e8te marocain
Miss Ohio USA,https://fr.wikipedia.org/?curid=10100570,https://fr.wikipedia.org/wiki/Miss Ohio USA,Traduction incompl\u00e8te
Allysin Kay,https://fr.wikipedia.org/?curid=10151209,https://fr.wikipedia.org/wiki/Allysin Kay,Page utilisant P27
Barbra Streisand,https://fr.wikipedia.org/?curid=1015135,https://fr.wikipedia.org/wiki/Barbra Streisand,Article contenant un lien mort
Katie Zaferes,https://fr.wikipedia.org/?curid=10149664,https://fr.wikipedia.org/wiki/Katie Zaferes,Article \u00e0 illustrer Sportif
Emma Laura,https://fr.wikipedia.org/?curid=10151929,https://fr.wikipedia.org/wiki/Emma Laura,Page utilisant P569
Andrew Miller (trail),https://fr.wikipedia.org/?curid=10150132,https://fr.wikipedia.org/wiki/Andrew Miller (trail),Page utilisant P569
Wendy Ingraham,https://fr.wikipedia.org/?curid=10433379,https://fr.wikipedia.org/wiki/Wendy Ingraham,Wikip\u00e9dia:\u00e9bauche triathl\u00e8te
Park Jung-ah,https://fr.wikipedia.org/?curid=10437019,https://fr.wikipedia.org/wiki/Park Jung-ah,Article utilisant une Infobox
Kristen Kerr,https://fr.wikipedia.org/?curid=10425484,https://fr.wikipedia.org/wiki/Kristen Kerr,Wikip\u00e9dia:\u00e9bauche acteur am\u00e9ricain
Amanda Stevens,https://fr.wikipedia.org/?curid=10400647,https://fr.wikipedia.org/wiki/Amanda Stevens,Article utilisant une Infobox
Miss Afrique du Sud 2005,https://fr.wikipedia.org/?curid=10401094,https://fr.wikipedia.org/wiki/Miss Afrique du Sud 2005,Article utilisant une Infobox
Sarah Piampiano,https://fr.wikipedia.org/?curid=10401237,https://fr.wikipedia.org/wiki/Sarah Piampiano,Article \u00e0 illustrer Sportif
Doug Collins (homme politique),https://fr.wikipedia.org/?curid=10419923,https://fr.wikipedia.org/wiki/Doug Collins (homme politique),Article contenant un appel \u00e0 traduction en anglais
J\u016blija Vansovi\u010da,https://fr.wikipedia.org/?curid=10442214,https://fr.wikipedia.org/wiki/J\u016blija Vansovi\u010da,Article \u00e0 illustrer Escrimeur
Rica Imai,https://fr.wikipedia.org/?curid=10443022,https://fr.wikipedia.org/wiki/Rica Imai,Article contenant un appel \u00e0 traduction en anglais
Suzan DelBene,https://fr.wikipedia.org/?curid=10403992,https://fr.wikipedia.org/wiki/Suzan DelBene,Article utilisant une Infobox
Liste de femmes pilotes de NASCAR,https://fr.wikipedia.org/?curid=10402062,https://fr.wikipedia.org/wiki/Liste de femmes pilotes de NASCAR,Article contenant un lien mort
Safia Nolin,https://fr.wikipedia.org/?curid=10395919,https://fr.wikipedia.org/wiki/Safia Nolin,Page utilisant P569
Nina Simone,https://fr.wikipedia.org/?curid=104468,https://fr.wikipedia.org/wiki/Nina Simone,Article utilisant une Infobox
Makoto Ninomiya,https://fr.wikipedia.org/?curid=10291563,https://fr.wikipedia.org/wiki/Makoto Ninomiya,Article utilisant une Infobox
