Name,URL1,URL2,First Category
"Alfred Hitchcock pr\u00e9sente (s\u00e9rie t\u00e9l\u00e9vis\u00e9e, 1985)",https://fr.wikipedia.org/?curid=1447764,"https://fr.wikipedia.org/wiki/Alfred Hitchcock pr\u00e9sente (s\u00e9rie t\u00e9l\u00e9vis\u00e9e, 1985)",Article utilisant une Infobox
Joan Tozzer,https://fr.wikipedia.org/?curid=14505428,https://fr.wikipedia.org/wiki/Joan Tozzer,Article \u00e0 illustrer Patineur artistique
M\u00f3nica Zalaquett,https://fr.wikipedia.org/?curid=14505456,https://fr.wikipedia.org/wiki/M\u00f3nica Zalaquett,Article utilisant une Infobox
Cobie Smulders,https://fr.wikipedia.org/?curid=1452199,https://fr.wikipedia.org/wiki/Cobie Smulders,Article contenant un lien mort
Cendrine Browne,https://fr.wikipedia.org/?curid=14522425,https://fr.wikipedia.org/wiki/Cendrine Browne,Article utilisant une Infobox
Li Xin (ski de fond),https://fr.wikipedia.org/?curid=14526386,https://fr.wikipedia.org/wiki/Li Xin (ski de fond),Wikip\u00e9dia:\u00e9bauche ski de fond
An Yu-jin,https://fr.wikipedia.org/?curid=14527665,https://fr.wikipedia.org/wiki/An Yu-jin,Article utilisant une Infobox
Sharon Firisua,https://fr.wikipedia.org/?curid=14503775,https://fr.wikipedia.org/wiki/Sharon Firisua,Wikip\u00e9dia:\u00e9bauche Salomon
Liste des m\u00e9daill\u00e9s aux Jeux paralympiques d'hiver de 2022,https://fr.wikipedia.org/?curid=14554197,https://fr.wikipedia.org/wiki/Liste des m\u00e9daill\u00e9s aux Jeux paralympiques d'hiver de 2022,Portail:Handisport/Articles li\u00e9s
Bhavani Devi Chadalavada Anandha,https://fr.wikipedia.org/?curid=14541593,https://fr.wikipedia.org/wiki/Bhavani Devi Chadalavada Anandha,Article utilisant une Infobox
Sandra Sassine,https://fr.wikipedia.org/?curid=14546881,https://fr.wikipedia.org/wiki/Sandra Sassine,Article \u00e0 illustrer Escrimeur
Eleonora Sears,https://fr.wikipedia.org/?curid=1454356,https://fr.wikipedia.org/wiki/Eleonora Sears,Article utilisant une Infobox
Cynthia Kauffman,https://fr.wikipedia.org/?curid=14493915,https://fr.wikipedia.org/wiki/Cynthia Kauffman,Wikip\u00e9dia:\u00e9bauche patinage artistique
Maurice Clavel (triathlon),https://fr.wikipedia.org/?curid=14574752,https://fr.wikipedia.org/wiki/Maurice Clavel (triathlon),Wikip\u00e9dia:\u00e9bauche triathl\u00e8te
Haley Chura,https://fr.wikipedia.org/?curid=14574754,https://fr.wikipedia.org/wiki/Haley Chura,Wikip\u00e9dia:\u00e9bauche triathl\u00e8te
Lydia Hiernickel,https://fr.wikipedia.org/?curid=14575496,https://fr.wikipedia.org/wiki/Lydia Hiernickel,Wikip\u00e9dia:\u00e9bauche sportif suisse
