URL,Name
https://fr.wikipedia.org/?curid=135765,Sarah Michelle Gellar
https://fr.wikipedia.org/?curid=4331022,C\u00e9line Dion
https://fr.wikipedia.org/?curid=1373517,Jennifer Hudson
https://fr.wikipedia.org/?curid=342938,Aretha Franklin
https://fr.wikipedia.org/?curid=333437,Kelly Clarkson
https://fr.wikipedia.org/?curid=90935,Angelina Jolie
https://fr.wikipedia.org/?curid=44279,Isabelle Adjani
https://fr.wikipedia.org/?curid=3539718,Discographie de Demi Lovato
https://fr.wikipedia.org/?curid=43734,Isabelle Huppert
https://fr.wikipedia.org/?curid=58559,Juliette Binoche
https://fr.wikipedia.org/?curid=11904611,Billie Eilish
https://fr.wikipedia.org/?curid=12414208,Kim Yoo-jung
https://fr.wikipedia.org/?curid=87443,Natalie Portman
https://fr.wikipedia.org/?curid=150171,Elizabeth Taylor
https://fr.wikipedia.org/?curid=1279461,Emma Watson
https://fr.wikipedia.org/?curid=11019108,Anitta (chanteuse)
https://fr.wikipedia.org/?curid=1959293,Ronda Rousey
https://fr.wikipedia.org/?curid=14104728,Liste des femmes astronautes
https://fr.wikipedia.org/?curid=770578,Sammi Cheng
https://fr.wikipedia.org/?curid=511041,Sheryl Swoopes
https://fr.wikipedia.org/?curid=7717464,Dorothea Wierer
https://fr.wikipedia.org/?curid=1255401,Magdalena Neuner
https://fr.wikipedia.org/?curid=349950,Allyson Felix
https://fr.wikipedia.org/?curid=3149324,Ellen van Dijk
https://fr.wikipedia.org/?curid=2000161,Marianne Vos
https://fr.wikipedia.org/?curid=1057650,Corinne Diacre
https://fr.wikipedia.org/?curid=5611148,Saki Kumagai
https://fr.wikipedia.org/?curid=828499,Lynn Hill
https://fr.wikipedia.org/?curid=2497694,Laure Manaudou
https://fr.wikipedia.org/?curid=6216491,Liste des médaillés olympiques en équitation
https://fr.wikipedia.org/?curid=5892703,Mikaela Shiffrin
https://fr.wikipedia.org/?curid=5581115,Eugenie Bouchard
https://fr.wikipedia.org/?curid=10792393,Mark\u00e9ta Vondrou\u0161ov\u00e1
https://fr.wikipedia.org/?curid=18984,Justine Henin
https://fr.wikipedia.org/?curid=154700,Martina Hingis
https://fr.wikipedia.org/?curid=5510922,Caroline Garcia
https://fr.wikipedia.org/?curid=1905669,Andrea Petkovic
https://fr.wikipedia.org/?curid=50346,Serena Williams
https://fr.wikipedia.org/?curid=8298326,Je\u013cena Ostapenko
https://fr.wikipedia.org/?curid=4930297,Elina Svitolina
https://fr.wikipedia.org/?curid=4756974,Ons Jabeur
https://fr.wikipedia.org/?curid=184497,Maria Sharapova
https://fr.wikipedia.org/?curid=6947667,Garbi\u00f1e Muguruza
https://fr.wikipedia.org/?curid=464912,Vera Zvonareva
https://fr.wikipedia.org/?curid=356378,Samantha Stosur
https://fr.wikipedia.org/?curid=1273789,Rachida Dati
https://fr.wikipedia.org/?curid=10362,S\u00e9gol\u00e8ne Royal
https://fr.wikipedia.org/?curid=1683000,Annick Girardin
https://fr.wikipedia.org/?curid=278951,Val\u00e9rie P\u00e9cresse
https://fr.wikipedia.org/?curid=57279,Simone Veil
https://fr.wikipedia.org/?curid=439220,C\u00e9cile Duflot
https://fr.wikipedia.org/?curid=9440913,Sandrine Rousseau
https://fr.wikipedia.org/?curid=98348,Hillary Clinton
