URL1,URL2
https://en.wikipedia.org/?curid=22966768,https://en.wikipedia.org/wiki/Access Bank Botswana
https://en.wikipedia.org/?curid=60318577,https://en.wikipedia.org/wiki/Studio 8 (company)
https://en.wikipedia.org/?curid=3273312,https://en.wikipedia.org/wiki/Stockholms Enskilda Bank
https://en.wikipedia.org/?curid=60838912,https://en.wikipedia.org/wiki/Sunday Night Productions
https://en.wikipedia.org/?curid=59432341,https://en.wikipedia.org/wiki/Eranove
https://en.wikipedia.org/?curid=41995813,https://en.wikipedia.org/wiki/Pitbull Studio
https://en.wikipedia.org/?curid=56148746,https://en.wikipedia.org/wiki/Azamara
https://en.wikipedia.org/?curid=48737122,https://en.wikipedia.org/wiki/Reflex Paramoteur
https://en.wikipedia.org/?curid=66400697,https://en.wikipedia.org/wiki/EAP Films
https://en.wikipedia.org/?curid=48684365,https://en.wikipedia.org/wiki/Kenya Reinsurance Corporation
https://en.wikipedia.org/?curid=3576545,https://en.wikipedia.org/wiki/Shaw Organisation
https://en.wikipedia.org/?curid=40371534,https://en.wikipedia.org/wiki/Fusion IP
https://en.wikipedia.org/?curid=45577648,https://en.wikipedia.org/wiki/Moyes Microlights
https://en.wikipedia.org/?curid=63670391,https://en.wikipedia.org/wiki/Mainline Corporation
https://en.wikipedia.org/?curid=38602954,https://en.wikipedia.org/wiki/Blue-Tongue Films
https://en.wikipedia.org/?curid=66508224,https://en.wikipedia.org/wiki/Carbios
https://en.wikipedia.org/?curid=1690132,https://en.wikipedia.org/wiki/Davis Entertainment
https://en.wikipedia.org/?curid=2957781,https://en.wikipedia.org/wiki/Rysher Entertainment
https://en.wikipedia.org/?curid=10321833,https://en.wikipedia.org/wiki/Transport Initiatives Edinburgh
https://en.wikipedia.org/?curid=59957414,https://en.wikipedia.org/wiki/Boat Rocker Media
https://en.wikipedia.org/?curid=2424311,https://en.wikipedia.org/wiki/SES Americom
https://en.wikipedia.org/?curid=44570489,https://en.wikipedia.org/wiki/OncoMed
https://en.wikipedia.org/?curid=61419350,https://en.wikipedia.org/wiki/Trojan Powder Company
https://en.wikipedia.org/?curid=60915585,https://en.wikipedia.org/wiki/Elite Entertainment
https://en.wikipedia.org/?curid=27164372,https://en.wikipedia.org/wiki/Merit Motion Pictures
https://en.wikipedia.org/?curid=57569397,https://en.wikipedia.org/wiki/National Investments Company Limited Tanzania
https://en.wikipedia.org/?curid=29365957,https://en.wikipedia.org/wiki/Commercial Bank Cameroon
https://en.wikipedia.org/?curid=26018807,https://en.wikipedia.org/wiki/EqualLogic
https://en.wikipedia.org/?curid=48539393,https://en.wikipedia.org/wiki/Amira Nature Foods
https://en.wikipedia.org/?curid=69077109,https://en.wikipedia.org/wiki/Phoenix Labs
https://en.wikipedia.org/?curid=4546106,https://en.wikipedia.org/wiki/Olga TV
