instance_name,nr of tables,nr of paragraphs,nr of comparisons,URL
instance_29,6,43,258,https://fr.wikipedia.org/?curid=1424248
instance_59,4,32,128,https://fr.wikipedia.org/?curid=5892703
instance_32,5,30,150,https://fr.wikipedia.org/?curid=1255401
instance_53,2,44,88,https://fr.wikipedia.org/?curid=342938
instance_82,4,34,136,https://fr.wikipedia.org/?curid=150171
