TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,column_type_8,column_type_9,column_type_10,column_type_11,column_type_12,column_type_13,key column
0,8,ORDINAL,TYPOGRAPHICAL ELEMENT,PERSON,RANGE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,2
1,8,ORDINAL,TYPOGRAPHICAL ELEMENT,PERSON,RANGE,UNKNOWN,FAC,UNKNOWN,UNKNOWN,,,,,,2
2,8,ORDINAL,TYPOGRAPHICAL ELEMENT,PERSON,RANGE,UNKNOWN,FAC,UNKNOWN,UNKNOWN,,,,,,2
3,8,ORDINAL,TYPOGRAPHICAL ELEMENT,PERSON,RANGE,PERSON,FAC,UNKNOWN,UNKNOWN,,,,,,2
4,13,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
5,3,UNKNOWN,UNKNOWN,PERSON,,,,,,,,,,,0
