TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,column_type_8,column_type_9,column_type_10,column_type_11,key column
0,7,UNKNOWN,UNKNOWN,UNKNOWN,ORG,CARDINAL,UNKNOWN,UNKNOWN,,,,,2
1,7,UNKNOWN,UNKNOWN,UNKNOWN,ORG,CARDINAL,UNKNOWN,UNKNOWN,,,,,2
2,9,UNKNOWN,UNKNOWN,UNKNOWN,GPE,CARDINAL,UNKNOWN,CARDINAL,UNKNOWN,UNKNOWN,,,3
3,10,UNKNOWN,UNKNOWN,UNKNOWN,GPE,GPE,CARDINAL,UNKNOWN,CARDINAL,UNKNOWN,UNKNOWN,,2
4,11,datetime,UNKNOWN,UNKNOWN,GPE,CARDINAL,UNKNOWN,CARDINAL,UNKNOWN,GPE,UNKNOWN,ORG,2
