TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,key column
0,4,datetime,UNKNOWN,UNKNOWN,UNKNOWN,1
1,4,datetime,UNKNOWN,,UNKNOWN,1
2,4,datetime,UNKNOWN,,UNKNOWN,1
3,4,datetime,UNKNOWN,,UNKNOWN,1
