TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,key column
0,4,UNKNOWN,datetime,UNKNOWN,,,0
1,4,datetime,PERSON,UNKNOWN,WORK_OF_ART,,1
2,5,ORDINAL,UNKNOWN,PERSON,datetime,,1
