TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,column_type_8,column_type_9,column_type_10,column_type_11,column_type_12,column_type_13,column_type_14,key column
0,3,RANGE,CARDINAL,UNKNOWN,,,,,,,,,,,,2.0
1,3,RANGE,UNKNOWN,UNKNOWN,,,,,,,,,,,,1.0
3,6,UNKNOWN,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,,,,,,,,,0.0
4,8,CARDINAL,UNKNOWN,GPE,GPE,RANGE,UNKNOWN,GPE,UNKNOWN,,,,,,,
5,9,CARDINAL,CARDINAL,,GPE,GPE,RANGE,UNKNOWN,,RANGE,,,,,,
6,13,datetime,ORG,UNKNOWN,CARDINAL,PERCENT,ELECTRIC POTENTIAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,PERCENT,ELECTRIC POTENTIAL,,1.0
7,14,datetime,EVENT,CARDINAL,PERCENT,ELECTRIC POTENTIAL,CARDINAL,PERCENT,ELECTRIC POTENTIAL,CARDINAL,PERCENT,ELECTRIC POTENTIAL,CARDINAL,PERCENT,ELECTRIC POTENTIAL,1.0
