Name,URL1,URL2,First Category
Marie-Am\u00e9lie Seigner,https://fr.wikipedia.org/?curid=1617735,https://fr.wikipedia.org/wiki/Marie-Am\u00e9lie Seigner,Article manquant de r\u00e9f\u00e9rences depuis d\u00e9cembre 2017
Juhi Chawla,https://fr.wikipedia.org/?curid=1617082,https://fr.wikipedia.org/wiki/Juhi Chawla,Article manquant de r\u00e9f\u00e9rences depuis novembre 2009
Shilpa Shetty,https://fr.wikipedia.org/?curid=1617170,https://fr.wikipedia.org/wiki/Shilpa Shetty,Page utilisant P106
Liste des m\u00e9daill\u00e9s olympiques masculins en judo,https://fr.wikipedia.org/?curid=1609198,https://fr.wikipedia.org/wiki/Liste des m\u00e9daill\u00e9s olympiques masculins en judo,Portail:Jeux olympiques/Articles li\u00e9s
Jenny Staley,https://fr.wikipedia.org/?curid=1675775,https://fr.wikipedia.org/wiki/Jenny Staley,Article utilisant une Infobox
Suzann Pettersen,https://fr.wikipedia.org/?curid=1674350,https://fr.wikipedia.org/wiki/Suzann Pettersen,Article utilisant une Infobox
Anne Keothavong,https://fr.wikipedia.org/?curid=1686113,https://fr.wikipedia.org/wiki/Anne Keothavong,Article utilisant une Infobox
Kim Campbell,https://fr.wikipedia.org/?curid=168810,https://fr.wikipedia.org/wiki/Kim Campbell,Page utilisant des arguments dupliqu\u00e9s dans les appels de mod\u00e8le
Alisa Kleybanova,https://fr.wikipedia.org/?curid=1686713,https://fr.wikipedia.org/wiki/Alisa Kleybanova,Article contenant un lien mort
Isabelle Guion de M\u00e9ritens,https://fr.wikipedia.org/?curid=1680903,https://fr.wikipedia.org/wiki/Isabelle Guion de M\u00e9ritens,Article utilisant une Infobox
Mikele Barber,https://fr.wikipedia.org/?curid=1927740,https://fr.wikipedia.org/wiki/Mikele Barber,Wikip\u00e9dia:\u00e9bauche athl\u00e8te am\u00e9ricain
Nicola Sanders,https://fr.wikipedia.org/?curid=1925449,https://fr.wikipedia.org/wiki/Nicola Sanders,Article utilisant une Infobox
Chrysopiy\u00ed Devetz\u00ed,https://fr.wikipedia.org/?curid=1925849,https://fr.wikipedia.org/wiki/Chrysopiy\u00ed Devetz\u00ed,Article utilisant une Infobox
Austra Skujyt\u0117,https://fr.wikipedia.org/?curid=1926409,https://fr.wikipedia.org/wiki/Austra Skujyt\u0117,Article utilisant une Infobox
Steffi Nerius,https://fr.wikipedia.org/?curid=1926986,https://fr.wikipedia.org/wiki/Steffi Nerius,Article utilisant une Infobox
Barbora \u0160pot\u00e1kov\u00e1,https://fr.wikipedia.org/?curid=1927013,https://fr.wikipedia.org/wiki/Barbora \u0160pot\u00e1kov\u00e1,Article utilisant une Infobox
Alessandra Caribe Moura,https://fr.wikipedia.org/?curid=1927168,https://fr.wikipedia.org/wiki/Alessandra Caribe Moura,Page utilisant P106
Nika Fleiss,https://fr.wikipedia.org/?curid=1927253,https://fr.wikipedia.org/wiki/Nika Fleiss,Article utilisant une Infobox
Xi Shi,https://fr.wikipedia.org/?curid=1927618,https://fr.wikipedia.org/wiki/Xi Shi,Article contenant un lien mort
Lyudmila Kolchanova,https://fr.wikipedia.org/?curid=1922434,https://fr.wikipedia.org/wiki/Lyudmila Kolchanova,Wikip\u00e9dia:\u00e9bauche athl\u00e8te russe
Versions Jane,https://fr.wikipedia.org/?curid=1913220,https://fr.wikipedia.org/wiki/Versions Jane,Wikip\u00e9dia:\u00e9bauche album
Tea Dongouzachvili,https://fr.wikipedia.org/?curid=1924020,https://fr.wikipedia.org/wiki/Tea Dongouzachvili,Wikip\u00e9dia:\u00e9bauche judo
Christina Obergf\u00f6ll,https://fr.wikipedia.org/?curid=1925985,https://fr.wikipedia.org/wiki/Christina Obergf\u00f6ll,Article utilisant une Infobox
Nataliya Dobrynska,https://fr.wikipedia.org/?curid=1897972,https://fr.wikipedia.org/wiki/Nataliya Dobrynska,Article utilisant une Infobox
Oludamola Osayomi,https://fr.wikipedia.org/?curid=1912219,https://fr.wikipedia.org/wiki/Oludamola Osayomi,Wikip\u00e9dia:\u00e9bauche athl\u00e8te nig\u00e9rian
Vasantha Marial Anthony,https://fr.wikipedia.org/?curid=1897149,https://fr.wikipedia.org/wiki/Vasantha Marial Anthony,Page utilisant P569
Jennifer Oeser,https://fr.wikipedia.org/?curid=1897879,https://fr.wikipedia.org/wiki/Jennifer Oeser,Article utilisant une Infobox
Nguyet Anh Vu Thi,https://fr.wikipedia.org/?curid=1897277,https://fr.wikipedia.org/wiki/Nguyet Anh Vu Thi,Wikip\u00e9dia:\u00e9bauche karat\u00e9ka
In\u00eas Henriques,https://fr.wikipedia.org/?curid=1928798,https://fr.wikipedia.org/wiki/In\u00eas Henriques,Article utilisant une Infobox
Ewelina Klocek,https://fr.wikipedia.org/?curid=1928821,https://fr.wikipedia.org/wiki/Ewelina Klocek,Wikip\u00e9dia:\u00e9bauche athl\u00e8te polonais
Huang Xiaoxiao,https://fr.wikipedia.org/?curid=1928830,https://fr.wikipedia.org/wiki/Huang Xiaoxiao,Wikip\u00e9dia:\u00e9bauche athl\u00e8te chinois
St\u00e9phanie Falzon,https://fr.wikipedia.org/?curid=1941329,https://fr.wikipedia.org/wiki/St\u00e9phanie Falzon,Wikip\u00e9dia:\u00e9bauche athl\u00e8te fran\u00e7ais
M\u00e9lina Robert-Michon,https://fr.wikipedia.org/?curid=1941347,https://fr.wikipedia.org/wiki/M\u00e9lina Robert-Michon,Article utilisant une Infobox
Myriam Soumar\u00e9,https://fr.wikipedia.org/?curid=1941382,https://fr.wikipedia.org/wiki/Myriam Soumar\u00e9,Article contenant un lien mort
Trish Johnson,https://fr.wikipedia.org/?curid=1941477,https://fr.wikipedia.org/wiki/Trish Johnson,Wikip\u00e9dia:\u00e9bauche golf
Zsuzsanna Klima,https://fr.wikipedia.org/?curid=1940886,https://fr.wikipedia.org/wiki/Zsuzsanna Klima,Page utilisant P27
Premila Supramaniam,https://fr.wikipedia.org/?curid=1942343,https://fr.wikipedia.org/wiki/Premila Supramaniam,Page utilisant P106
Alexandra Witteborn,https://fr.wikipedia.org/?curid=1942371,https://fr.wikipedia.org/wiki/Alexandra Witteborn,Wikip\u00e9dia:\u00e9bauche karat\u00e9ka allemand
Sarah MacKenzie (personnage),https://fr.wikipedia.org/?curid=1939064,https://fr.wikipedia.org/wiki/Sarah MacKenzie (personnage),Article utilisant une Infobox
Ginnie Crawford,https://fr.wikipedia.org/?curid=1917939,https://fr.wikipedia.org/wiki/Ginnie Crawford,Wikip\u00e9dia:\u00e9bauche athl\u00e8te am\u00e9ricain
Janeth Jepkosgei,https://fr.wikipedia.org/?curid=1918787,https://fr.wikipedia.org/wiki/Janeth Jepkosgei,Article utilisant une Infobox
