Name,URL1,URL2,First Category
Maria Sander,https://fr.wikipedia.org/?curid=5810496,https://fr.wikipedia.org/wiki/Maria Sander,Wikip\u00e9dia:\u00e9bauche athl\u00e8te allemand
Yelena Gorchakova,https://fr.wikipedia.org/?curid=5810546,https://fr.wikipedia.org/wiki/Yelena Gorchakova,Wikip\u00e9dia:\u00e9bauche athl\u00e8te sovi\u00e9tique
Nadezhda Shopova,https://fr.wikipedia.org/?curid=5836599,https://fr.wikipedia.org/wiki/Nadezhda Shopova,Article \u00e0 illustrer Joueur de volley-ball
Bojana Dr\u010da,https://fr.wikipedia.org/?curid=5836650,https://fr.wikipedia.org/wiki/Bojana Dr\u010da,Article utilisant une Infobox
Irene Curtoni,https://fr.wikipedia.org/?curid=5835240,https://fr.wikipedia.org/wiki/Irene Curtoni,Wikip\u00e9dia:\u00e9bauche ski alpin
Ileana Ros-Lehtinen,https://fr.wikipedia.org/?curid=5834523,https://fr.wikipedia.org/wiki/Ileana Ros-Lehtinen,Article utilisant une Infobox
Song\u00fcl \u00d6den,https://fr.wikipedia.org/?curid=5834967,https://fr.wikipedia.org/wiki/Song\u00fcl \u00d6den,Article utilisant une Infobox
Anne-Sophie Jura,https://fr.wikipedia.org/?curid=5833473,https://fr.wikipedia.org/wiki/Anne-Sophie Jura,Article \u00e0 illustrer Sportif
Catalina Pulido,https://fr.wikipedia.org/?curid=5802716,https://fr.wikipedia.org/wiki/Catalina Pulido,Wikip\u00e9dia:\u00e9bauche acteur chilien
Christel Pascal,https://fr.wikipedia.org/?curid=580280,https://fr.wikipedia.org/wiki/Christel Pascal,Wikip\u00e9dia:\u00e9bauche ski alpin
Nijol\u0117 Sabait\u0117,https://fr.wikipedia.org/?curid=5824567,https://fr.wikipedia.org/wiki/Nijol\u0117 Sabait\u0117,Wikip\u00e9dia:\u00e9bauche athl\u00e8te sovi\u00e9tique
Valeria Bufanu,https://fr.wikipedia.org/?curid=5825184,https://fr.wikipedia.org/wiki/Valeria Bufanu,Wikip\u00e9dia:\u00e9bauche athl\u00e8te roumain
Pippa Mann,https://fr.wikipedia.org/?curid=5823924,https://fr.wikipedia.org/wiki/Pippa Mann,Article utilisant une Infobox
Sanja Tomasevi\u0107,https://fr.wikipedia.org/?curid=5824044,https://fr.wikipedia.org/wiki/Sanja Tomasevi\u0107,Article \u00e0 illustrer Joueur de volley-ball
Ksenia Sizova,https://fr.wikipedia.org/?curid=5824075,https://fr.wikipedia.org/wiki/Ksenia Sizova,Article utilisant une Infobox
Denise Karbon,https://fr.wikipedia.org/?curid=580381,https://fr.wikipedia.org/wiki/Denise Karbon,Article utilisant une Infobox
Yelisaveta Bagryantseva,https://fr.wikipedia.org/?curid=5811969,https://fr.wikipedia.org/wiki/Yelisaveta Bagryantseva,Wikip\u00e9dia:\u00e9bauche athl\u00e8te sovi\u00e9tique
Stephanie Cook,https://fr.wikipedia.org/?curid=5812063,https://fr.wikipedia.org/wiki/Stephanie Cook,Article \u00e0 illustrer Sportif
Unreal Tournament 3,https://fr.wikipedia.org/?curid=581208,https://fr.wikipedia.org/wiki/Unreal Tournament 3,Page utilisant P348
Ma\u0142gorzata Cie\u015bla,https://fr.wikipedia.org/?curid=5811716,https://fr.wikipedia.org/wiki/Ma\u0142gorzata Cie\u015bla,Article \u00e0 illustrer Joueur de volley-ball
Misleydis Gonz\u00e1lez,https://fr.wikipedia.org/?curid=5820895,https://fr.wikipedia.org/wiki/Misleydis Gonz\u00e1lez,Wikip\u00e9dia:\u00e9bauche athl\u00e8te cubain
Deborah Compagnoni,https://fr.wikipedia.org/?curid=582250,https://fr.wikipedia.org/wiki/Deborah Compagnoni,Wikip\u00e9dia:\u00e9bauche ski alpin
Stefanie K\u00f6hle,https://fr.wikipedia.org/?curid=5822601,https://fr.wikipedia.org/wiki/Stefanie K\u00f6hle,Article manquant de r\u00e9f\u00e9rences depuis ao\u00fbt 2015
Marta \u0141ukaszewska,https://fr.wikipedia.org/?curid=5821998,https://fr.wikipedia.org/wiki/Marta \u0141ukaszewska,Article utilisant une Infobox
Joanna Szeszko,https://fr.wikipedia.org/?curid=5820197,https://fr.wikipedia.org/wiki/Joanna Szeszko,Article utilisant une Infobox
Argentina Menis,https://fr.wikipedia.org/?curid=5827764,https://fr.wikipedia.org/wiki/Argentina Menis,Wikip\u00e9dia:\u00e9bauche athl\u00e8te roumain
Viviana Corvese,https://fr.wikipedia.org/?curid=5807601,https://fr.wikipedia.org/wiki/Viviana Corvese,Wikip\u00e9dia:\u00e9bauche joueuse italienne de volley-ball
Marzena Wilczy\u0144ska,https://fr.wikipedia.org/?curid=5807622,https://fr.wikipedia.org/wiki/Marzena Wilczy\u0144ska,Article utilisant une Infobox
Corinne Rey-Bellet,https://fr.wikipedia.org/?curid=579885,https://fr.wikipedia.org/wiki/Corinne Rey-Bellet,Article \u00e0 illustrer Sportif
Gerda Kraan,https://fr.wikipedia.org/?curid=5810161,https://fr.wikipedia.org/wiki/Gerda Kraan,Wikip\u00e9dia:\u00e9bauche athl\u00e8te n\u00e9erlandais
Thelma Hopkins,https://fr.wikipedia.org/?curid=5810228,https://fr.wikipedia.org/wiki/Thelma Hopkins,Wikip\u00e9dia:\u00e9bauche athl\u00e8te britannique
Sheila Lerwill,https://fr.wikipedia.org/?curid=5810280,https://fr.wikipedia.org/wiki/Sheila Lerwill,Wikip\u00e9dia:\u00e9bauche athl\u00e8te britannique
Ulrike Urbansky,https://fr.wikipedia.org/?curid=5799454,https://fr.wikipedia.org/wiki/Ulrike Urbansky,Wikip\u00e9dia:\u00e9bauche athl\u00e8te allemand
Milagros Collar,https://fr.wikipedia.org/?curid=5809600,https://fr.wikipedia.org/wiki/Milagros Collar,Article utilisant une Infobox
Ewa Cabajewska,https://fr.wikipedia.org/?curid=5816143,https://fr.wikipedia.org/wiki/Ewa Cabajewska,Article utilisant une Infobox
