Name,URL1,URL2,First Category
Eva Sokolova,https://fr.wikipedia.org/?curid=14329439,https://fr.wikipedia.org/wiki/Eva Sokolova,Wikipédia:ébauche athlète russe
Freweyni Hailu,https://fr.wikipedia.org/?curid=14329519,https://fr.wikipedia.org/wiki/Freweyni Hailu,Wikipédia:ébauche athlète éthiopien
Crazy Sally,https://fr.wikipedia.org/?curid=14320111,https://fr.wikipedia.org/wiki/Crazy Sally,Page utilisant P569
Misty Lee,https://fr.wikipedia.org/?curid=14312570,https://fr.wikipedia.org/wiki/Misty Lee,Article contenant un appel à traduction en anglais
Susannah Scaroni,https://fr.wikipedia.org/?curid=14328282,https://fr.wikipedia.org/wiki/Susannah Scaroni,Article utilisant une Infobox
Gretchen Merrill,https://fr.wikipedia.org/?curid=14325527,https://fr.wikipedia.org/wiki/Gretchen Merrill,Article à illustrer Patineur artistique
Fleur Jong,https://fr.wikipedia.org/?curid=14327978,https://fr.wikipedia.org/wiki/Fleur Jong,Page utilisant P569
Liste des médaillés olympiques en tir,https://fr.wikipedia.org/?curid=14317220,https://fr.wikipedia.org/wiki/Liste des médaillés olympiques en tir,Wikipédia:ébauche tir
Cassidy Klein,https://fr.wikipedia.org/?curid=14340247,https://fr.wikipedia.org/wiki/Cassidy Klein,Article utilisant une Infobox
Lindy Ave,https://fr.wikipedia.org/?curid=14341191,https://fr.wikipedia.org/wiki/Lindy Ave,Article utilisant une Infobox
Grace Madden,https://fr.wikipedia.org/?curid=14342010,https://fr.wikipedia.org/wiki/Grace Madden,Article à illustrer Patineur artistique
Iwona Kuczyńska,https://fr.wikipedia.org/?curid=1432496,https://fr.wikipedia.org/wiki/Iwona Kuczyńska,Article à illustrer Joueur de tennis
Agnès Varda (film),https://fr.wikipedia.org/?curid=14316002,https://fr.wikipedia.org/wiki/Agnès Varda (film),Article utilisant une Infobox
Lucia Romanov,https://fr.wikipedia.org/?curid=1432233,https://fr.wikipedia.org/wiki/Lucia Romanov,Article à illustrer Joueur de tennis
Zhang Xinyi,https://fr.wikipedia.org/?curid=14320288,https://fr.wikipedia.org/wiki/Zhang Xinyi,Article utilisant une Infobox
Yana Burlakova,https://fr.wikipedia.org/?curid=14321206,https://fr.wikipedia.org/wiki/Yana Burlakova,Page utilisant P569
Maike van der Duin,https://fr.wikipedia.org/?curid=14322617,https://fr.wikipedia.org/wiki/Maike van der Duin,Page utilisant P569
Giovanna Scoccimarro,https://fr.wikipedia.org/?curid=14337991,https://fr.wikipedia.org/wiki/Giovanna Scoccimarro,Wikipédia:ébauche sportif allemand
Maude Smith,https://fr.wikipedia.org/?curid=14354004,https://fr.wikipedia.org/wiki/Maude Smith,Article utilisant une Infobox
Veronica Clarke,https://fr.wikipedia.org/?curid=14351790,https://fr.wikipedia.org/wiki/Veronica Clarke,Article à illustrer Patineur artistique
Polina Seronosova,https://fr.wikipedia.org/?curid=14523221,https://fr.wikipedia.org/wiki/Polina Seronosova,Wikipédia:ébauche ski de fond
Izabela Marcisz,https://fr.wikipedia.org/?curid=14516764,https://fr.wikipedia.org/wiki/Izabela Marcisz,Wikipédia:ébauche ski de fond
Jang Won-young,https://fr.wikipedia.org/?curid=14527623,https://fr.wikipedia.org/wiki/Jang Won-young,Article utilisant une Infobox
Jessica Yeaton,https://fr.wikipedia.org/?curid=14524656,https://fr.wikipedia.org/wiki/Jessica Yeaton,Article utilisant une Infobox
Sabrina Setlur,https://fr.wikipedia.org/?curid=1452470,https://fr.wikipedia.org/wiki/Sabrina Setlur,Article utilisant une Infobox
Aimee Watson,https://fr.wikipedia.org/?curid=14526957,https://fr.wikipedia.org/wiki/Aimee Watson,Article utilisant une Infobox
Valentyna Kaminska,https://fr.wikipedia.org/?curid=14525235,https://fr.wikipedia.org/wiki/Valentyna Kaminska,Wikipédia:ébauche ski de fond
Audrey Peppe,https://fr.wikipedia.org/?curid=14506192,https://fr.wikipedia.org/wiki/Audrey Peppe,Article utilisant une Infobox
Anna Shevchenko,https://fr.wikipedia.org/?curid=14517402,https://fr.wikipedia.org/wiki/Anna Shevchenko,Wikipédia:ébauche sportif kazakh
Breanna Hargrave,https://fr.wikipedia.org/?curid=14516913,https://fr.wikipedia.org/wiki/Breanna Hargrave,Wikipédia:ébauche coureur cycliste australien
Rikki Belder,https://fr.wikipedia.org/?curid=14516914,https://fr.wikipedia.org/wiki/Rikki Belder,Wikipédia:ébauche coureur cycliste australien
Tess Downing,https://fr.wikipedia.org/?curid=14516915,https://fr.wikipedia.org/wiki/Tess Downing,Wikipédia:ébauche coureur cycliste australien
Annalisa Farrell,https://fr.wikipedia.org/?curid=14516916,https://fr.wikipedia.org/wiki/Annalisa Farrell,Wikipédia:ébauche coureur cycliste néo-zélandais
Petra Hynčicová,https://fr.wikipedia.org/?curid=14520944,https://fr.wikipedia.org/wiki/Petra Hynčicová,Wikipédia:ébauche sportif tchèque
Lisa Unterweger,https://fr.wikipedia.org/?curid=14519899,https://fr.wikipedia.org/wiki/Lisa Unterweger,Wikipédia:ébauche sportif autrichien
Dahria Beatty,https://fr.wikipedia.org/?curid=14520174,https://fr.wikipedia.org/wiki/Dahria Beatty,Wikipédia:ébauche sportif canadien
Anastasia Kirillova,https://fr.wikipedia.org/?curid=14520243,https://fr.wikipedia.org/wiki/Anastasia Kirillova,Wikipédia:ébauche ski de fond
Lee Kyung-mi,https://fr.wikipedia.org/?curid=14494892,https://fr.wikipedia.org/wiki/Lee Kyung-mi,Article contenant un appel à traduction en anglais
Aliya Luty,https://fr.wikipedia.org/?curid=14499950,https://fr.wikipedia.org/wiki/Aliya Luty,Article utilisant une Infobox
Lynn Nightingale,https://fr.wikipedia.org/?curid=14512839,https://fr.wikipedia.org/wiki/Lynn Nightingale,Article à illustrer Patineur artistique
Natasha Dupeyrón,https://fr.wikipedia.org/?curid=14514691,https://fr.wikipedia.org/wiki/Natasha Dupeyrón,Wikipédia:ébauche acteur mexicain
Chi Chunxue,https://fr.wikipedia.org/?curid=14528951,https://fr.wikipedia.org/wiki/Chi Chunxue,Article utilisant une Infobox
Patrīcija Eiduka,https://fr.wikipedia.org/?curid=14529071,https://fr.wikipedia.org/wiki/Patrīcija Eiduka,Article utilisant une Infobox
Valeriya Tyuleneva,https://fr.wikipedia.org/?curid=14528354,https://fr.wikipedia.org/wiki/Valeriya Tyuleneva,Wikipédia:ébauche sportif kazakh
Vedrana Malec,https://fr.wikipedia.org/?curid=14528489,https://fr.wikipedia.org/wiki/Vedrana Malec,Article utilisant une Infobox
Summer Bishil,https://fr.wikipedia.org/?curid=14506495,https://fr.wikipedia.org/wiki/Summer Bishil,Article contenant un lien mort
Lauren Parker,https://fr.wikipedia.org/?curid=14506857,https://fr.wikipedia.org/wiki/Lauren Parker,Article utilisant une Infobox
Nihed Naïli,https://fr.wikipedia.org/?curid=14507220,https://fr.wikipedia.org/wiki/Nihed Naïli,Article à illustrer Footballeur
Claire Cashmore,https://fr.wikipedia.org/?curid=14507378,https://fr.wikipedia.org/wiki/Claire Cashmore,Article utilisant une Infobox
Louisa Djemaï,https://fr.wikipedia.org/?curid=14508397,https://fr.wikipedia.org/wiki/Louisa Djemaï,Article utilisant une Infobox
Yeung Chui Ling,https://fr.wikipedia.org/?curid=14487459,https://fr.wikipedia.org/wiki/Yeung Chui Ling,Article à illustrer Escrimeur
Aiysha Hart,https://fr.wikipedia.org/?curid=14490862,https://fr.wikipedia.org/wiki/Aiysha Hart,Wikipédia:ébauche acteur britannique
Sada Williams,https://fr.wikipedia.org/?curid=14490927,https://fr.wikipedia.org/wiki/Sada Williams,Wikipédia:ébauche sportif barbadien
Cécile Saboureau,https://fr.wikipedia.org/?curid=14500450,https://fr.wikipedia.org/wiki/Cécile Saboureau,Article utilisant une Infobox
Monika Soćko,https://fr.wikipedia.org/?curid=1448691,https://fr.wikipedia.org/wiki/Monika Soćko,Wikipédia:ébauche échecs
Margherita Vicario,https://fr.wikipedia.org/?curid=14494049,https://fr.wikipedia.org/wiki/Margherita Vicario,Page utilisant P569
Patricia Pineda,https://fr.wikipedia.org/?curid=14483841,https://fr.wikipedia.org/wiki/Patricia Pineda,Article utilisant une Infobox
Maryline Nakache,https://fr.wikipedia.org/?curid=14496573,https://fr.wikipedia.org/wiki/Maryline Nakache,Article à illustrer Athlète
Liste des duchesses de Berry,https://fr.wikipedia.org/?curid=1447481,https://fr.wikipedia.org/wiki/Liste des duchesses de Berry,Article manquant de références depuis juin 2019
Lyn St. James,https://fr.wikipedia.org/?curid=1447504,https://fr.wikipedia.org/wiki/Lyn St. James,Wikipédia:ébauche endurance automobile
Karin Blaser,https://fr.wikipedia.org/?curid=14475104,https://fr.wikipedia.org/wiki/Karin Blaser,Article utilisant une Infobox
Coco Lin,https://fr.wikipedia.org/?curid=14474496,https://fr.wikipedia.org/wiki/Coco Lin,Article à illustrer Escrimeur
Déspina Georgiádou,https://fr.wikipedia.org/?curid=14470315,https://fr.wikipedia.org/wiki/Déspina Georgiádou,Wikipédia:ébauche escrimeuse
Maddison Jaizani,https://fr.wikipedia.org/?curid=14472184,https://fr.wikipedia.org/wiki/Maddison Jaizani,Article à illustrer Personnalité du cinéma
Kateřina Razýmová,https://fr.wikipedia.org/?curid=14488024,https://fr.wikipedia.org/wiki/Kateřina Razýmová,Article utilisant une Infobox
Hanna Sarkkinen,https://fr.wikipedia.org/?curid=14485827,https://fr.wikipedia.org/wiki/Hanna Sarkkinen,P2181 identique sur Wikidata
