TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,column_type_8,key column
0,8,PERSON,UNKNOWN,UNKNOWN,POSTAL ADDRESS,GPE,UNKNOWN,GPE,UNKNOWN,0
1,5,ORG,FAC,UNKNOWN,UNKNOWN,UNKNOWN,,,,0
2,6,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,1
