TableNum,column_number,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,key column
0,10,UNKNOWN,UNKNOWN,UNKNOWN,ORG,CARDINAL,UNKNOWN,ORG,CARDINAL,UNKNOWN,UNKNOWN,2
1,9,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CARDINAL,UNKNOWN,CARDINAL,UNKNOWN,UNKNOWN,,2
2,8,UNKNOWN,UNKNOWN,UNKNOWN,PERSON,GPE,CARDINAL,UNKNOWN,UNKNOWN,,,2
3,7,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CARDINAL,UNKNOWN,UNKNOWN,,,,2
4,8,UNKNOWN,UNKNOWN,UNKNOWN,ORG,CARDINAL,UNKNOWN,,PERSON,,,2
