TableNum,column_number,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,key column
0,3,RANGE,CARDINAL,UNKNOWN,,,,,,,,,,,,2.0
1,3,RANGE,UNKNOWN,UNKNOWN,,,,,,,,,,,,1.0
3,6,UNKNOWN,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,,,,,,,,,0.0
4,8,CARDINAL,UNKNOWN,GPE,GPE,RANGE,UNKNOWN,GPE,UNKNOWN,,,,,,,
5,9,CARDINAL,CARDINAL,,GPE,GPE,RANGE,UNKNOWN,,RANGE,,,,,,
6,13,datetime,ORG,UNKNOWN,CARDINAL,PERCENT,ELECTRIC POTENTIAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,PERCENT,ELECTRIC POTENTIAL,,1.0
7,14,datetime,EVENT,CARDINAL,PERCENT,ELECTRIC POTENTIAL,CARDINAL,PERCENT,ELECTRIC POTENTIAL,CARDINAL,PERCENT,ELECTRIC POTENTIAL,CARDINAL,PERCENT,ELECTRIC POTENTIAL,1.0
