TableNum,Column 1,Column 2,Column 3,Column 4,key column
0,DATE,UNKNOWN,UNKNOWN,UNKNOWN,1
1,DATE,UNKNOWN,,UNKNOWN,1
2,DATE,UNKNOWN,,UNKNOWN,1
3,DATE,UNKNOWN,,UNKNOWN,1
