TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,column_type_8,column_type_9,column_type_10,column_type_11,column_type_12,column_type_13,column_type_14,key column
0,6,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,0
1,5,GPE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,0
2,14,UNKNOWN,UNKNOWN,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,0
3,9,RANGE,GPE,GPE,GPE,GPE,GPE,GPE,GPE,CARDINAL,,,,,,1
4,3,GPE,UNKNOWN,UNKNOWN,,,,,,,,,,,,0
