TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,key column
0,4,ORG,,PERCENT,PERCENT,,0
1,5,PERSON,PERCENT,,CARDINAL,PERSON,0
2,5,PERSON,PERCENT,,CARDINAL,PERSON,0
3,5,PERSON,PERCENT,CARDINAL,CARDINAL,PERSON,0
