TableNum,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,key column
0,UNKNOWN,PERSON,PERSON,datetime,UNKNOWN,,1
1,TYPOGRAPHICAL ELEMENT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1
2,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1
3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TYPOGRAPHICAL ELEMENT,1
4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
