TableNum,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,column_type_8,column_type_9,column_type_10,column_type_11,column_number,key column
0,datetime,UNKNOWN,UNKNOWN,UNKNOWN,ORG,CARDINAL,UNKNOWN,ORG,CARDINAL,UNKNOWN,10,,3.0
1,datetime,UNKNOWN,UNKNOWN,GPE,ORG,CARDINAL,UNKNOWN,ORG,CARDINAL,UNKNOWN,UNKNOWN,11.0,
2,UNKNOWN,ORG,GPE,ORG,CARDINAL,UNKNOWN,ORG,CARDINAL,UNKNOWN,UNKNOWN,10,,2.0
3,UNKNOWN,UNKNOWN,UNKNOWN,ORG,CARDINAL,UNKNOWN,ORG,CARDINAL,UNKNOWN,UNKNOWN,10,,2.0
