TableNum,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,key column
0,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2,RANGE,GPE,GPE,UNKNOWN,UNKNOWN,CARDINAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0
4,UNKNOWN,CARDINAL,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,TYPOGRAPHICAL ELEMENT,UNKNOWN,
5,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
6,GPE,,,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
7,UNKNOWN,,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
8,GPE,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
