TableNum,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,column_type_8,column_number,key column
0,PERSON,UNKNOWN,UNKNOWN,POSTAL ADDRESS,GPE,UNKNOWN,GPE,UNKNOWN,8.0,0
1,ORG,FAC,UNKNOWN,UNKNOWN,UNKNOWN,5,,,,0
2,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,6,,,1
