TableNum,column_number,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,key column
1,7,UNKNOWN,,,,GPE,GPE,GPE,0
2,4,datetime,WORK_OF_ART,UNKNOWN,UNKNOWN,,,,2
3,4,datetime,UNKNOWN,UNKNOWN,UNKNOWN,,,,2
