TableNum,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,key column
0,DATE,UNKNOWN,UNKNOWN,,,,1
1,UNKNOWN,DATE,,ORG,,,0
2,UNKNOWN,CARDINAL,UNKNOWN,ORG,UNKNOWN,UNKNOWN,0
