TableNum,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,column_type_8,column_type_9,column_type_10,column_type_11,column_number,key column
0,UNKNOWN,UNKNOWN,ORG,UNKNOWN,ORG,CARDINAL,UNKNOWN,ORG,CARDINAL,UNKNOWN,UNKNOWN,11.0,
1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CARDINAL,UNKNOWN,UNKNOWN,7,,,,,2.0
2,UNKNOWN,UNKNOWN,UNKNOWN,GPE,ORG,CARDINAL,UNKNOWN,ORG,CARDINAL,UNKNOWN,UNKNOWN,11.0,2.0
3,UNKNOWN,UNKNOWN,UNKNOWN,ORG,CARDINAL,UNKNOWN,ORG,CARDINAL,UNKNOWN,UNKNOWN,10,,2.0
4,UNKNOWN,UNKNOWN,UNKNOWN,ORG,CARDINAL,UNKNOWN,6,,,,,,2.0
