TableNum,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,key column
0,PERSON,PERSON,,,,,,0
1,PERSON,PERSON,,,,,,0
2,ORDINAL,DATE,WORK_OF_ART,UNKNOWN,DATE,PERSON,PERSON,2
3,ORDINAL,DATE,UNKNOWN,,UNKNOWN,PERSON,,2
4,ORDINAL,DATE,UNKNOWN,PERSON,,,,2
5,ORDINAL,DATE,PERSON,PERSON,,,,2
