TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,column_type_8,column_type_9,column_type_10,column_type_11,key column
0,10,datetime,UNKNOWN,UNKNOWN,GPE,CARDINAL,CARDINAL,UNKNOWN,ORG,CARDINAL,UNKNOWN,,2
1,8,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ORG,CARDINAL,UNKNOWN,UNKNOWN,,,,2
2,11,datetime,UNKNOWN,UNKNOWN,GPE,UNKNOWN,CARDINAL,UNKNOWN,UNKNOWN,CARDINAL,UNKNOWN,UNKNOWN,2
3,11,datetime,UNKNOWN,UNKNOWN,UNKNOWN,CARDINAL,CARDINAL,UNKNOWN,ORG,CARDINAL,UNKNOWN,UNKNOWN,2
