TableNum,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,key column
0,UNKNOWN,UNKNOWN,UNKNOWN,ORG,CARDINAL,UNKNOWN,UNKNOWN,,,,,2
1,UNKNOWN,UNKNOWN,UNKNOWN,ORG,CARDINAL,UNKNOWN,UNKNOWN,,,,,2
2,UNKNOWN,UNKNOWN,UNKNOWN,GPE,CARDINAL,UNKNOWN,CARDINAL,UNKNOWN,UNKNOWN,,,3
3,UNKNOWN,UNKNOWN,UNKNOWN,GPE,GPE,CARDINAL,UNKNOWN,CARDINAL,UNKNOWN,UNKNOWN,,2
4,datetime,UNKNOWN,UNKNOWN,GPE,CARDINAL,UNKNOWN,CARDINAL,UNKNOWN,GPE,UNKNOWN,ORG,2
