TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,key column
0,5,TYPOGRAPHICAL ELEMENT,UNKNOWN,CARDINAL,PERSON,UNKNOWN,,1
1,5,UNKNOWN,PERSON,CARDINAL,PERSON,UNKNOWN,,0
2,6,UNKNOWN,PERSON,RANGE,PERSON,UNKNOWN,PERSON,0
3,6,UNKNOWN,PERSON,CARDINAL,PERSON,UNKNOWN,PERSON,0
4,6,UNKNOWN,PERSON,RANGE,UNKNOWN,UNKNOWN,ORG,0
