TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,key column
0,6,datetime,EVENT,GPE,UNKNOWN,CARDINAL,DURATION,,
2,7,UNKNOWN,CARDINAL,DURATION,,GPE,,CARDINAL,
3,5,datetime,,,GPE,CARDINAL,,,3.0
4,5,datetime,,,GPE,CARDINAL,,,3.0
5,5,datetime,,,GPE,CARDINAL,,,3.0
