TableNum,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,column_type_8,column_type_9,column_number,key column
0,ORDINAL,datetime,UNKNOWN,UNKNOWN,UNKNOWN,PERSON,datetime,UNKNOWN,8,,2
1,ORDINAL,datetime,UNKNOWN,UNKNOWN,UNKNOWN,PERSON,PERSON,datetime,UNKNOWN,9.0,2
2,ORDINAL,datetime,FAC,LOC,PERSON,PERSON,datetime,UNKNOWN,8,,2
3,PERSON,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,GPE,7,,,0
4,UNKNOWN,1,,,,,,,,,0
5,ORDINAL,GPE,datetime,UNKNOWN,PERSON,,CARDINAL,datetime,UNKNOWN,9.0,1
