TableNum,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,key column
0,UNKNOWN,UNKNOWN,UNKNOWN,ORG,CARDINAL,UNKNOWN,ORG,CARDINAL,UNKNOWN,UNKNOWN,2.0
1,datetime,UNKNOWN,UNKNOWN,ORG,CARDINAL,UNKNOWN,,,,,2.0
2,UNKNOWN,ORG,GPE,ORG,CARDINAL,UNKNOWN,ORG,CARDINAL,UNKNOWN,UNKNOWN,2.0
3,datetime,UNKNOWN,UNKNOWN,GPE,CARDINAL,UNKNOWN,CARDINAL,UNKNOWN,UNKNOWN,,
4,datetime,,UNKNOWN,UNKNOWN,CARDINAL,CARDINAL,,,,,3.0
5,datetime,UNKNOWN,UNKNOWN,GPE,CARDINAL,UNKNOWN,CARDINAL,UNKNOWN,UNKNOWN,,3.0
6,datetime,UNKNOWN,UNKNOWN,FAC,CARDINAL,UNKNOWN,CARDINAL,UNKNOWN,UNKNOWN,,3.0
7,UNKNOWN,UNKNOWN,UNKNOWN,ORG,CARDINAL,UNKNOWN,CARDINAL,UNKNOWN,UNKNOWN,,3.0
