TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,column_type_8,column_type_9,column_type_10,column_type_11,key column
0,10,datetime,UNKNOWN,ORG,GPE,ORG,CARDINAL,UNKNOWN,ORG,CARDINAL,UNKNOWN,,
1,8,datetime,,ORG,UNKNOWN,,CARDINAL,,,,,,2.0
2,11,UNKNOWN,UNKNOWN,UNKNOWN,ORG,ORG,CARDINAL,UNKNOWN,ORG,CARDINAL,UNKNOWN,UNKNOWN,3.0
