TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,column_type_8,column_type_9,column_type_10,column_type_11,column_type_12,column_type_13,column_type_14,column_type_15,column_type_16,column_type_17,key column
0,17,UNKNOWN,CARDINAL,PERCENT,datetime,PERCENT,CARDINAL,PERCENT,datetime,PERCENT,datetime,PERCENT,datetime,PERCENT,datetime,PERCENT,CARDINAL,PERCENT,0
1,17,UNKNOWN,CARDINAL,PERCENT,CARDINAL,PERCENT,CARDINAL,PERCENT,CARDINAL,PERCENT,CARDINAL,PERCENT,CARDINAL,PERCENT,CARDINAL,PERCENT,CARDINAL,PERCENT,0
2,6,EVENT,,,,,,,,,,,,,,,,,0
3,7,UNKNOWN,,,,EVENT,,,,,,,,,,,,,0
4,9,UNKNOWN,UNKNOWN,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,,,,,,,,,0
5,6,RANGE,PERSON,GPE,GPE,GPE,CARDINAL,,,,,,,,,,,,2
6,10,UNKNOWN,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,,,,,,,,0
7,5,GPE,,,,,,,,,,,,,,,,,0
