TableNum,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,key column
0,datetime,UNKNOWN,CARDINAL,CARDINAL,CARDINAL,ORG,UNKNOWN,ORG,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1
1,datetime,UNKNOWN,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,ORG,UNKNOWN,UNKNOWN,1
2,UNKNOWN,datetime,CARDINAL,CARDINAL,UNKNOWN,CARDINAL,GPE,CARDINAL,UNKNOWN,UNKNOWN,,,,0
