TableNum,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_number,key column
0,UNKNOWN,datetime,UNKNOWN,,4,,0
1,datetime,PERSON,UNKNOWN,WORK_OF_ART,4,,1
2,ORDINAL,UNKNOWN,PERSON,datetime,,5.0,1
