TableNum,Column 1,Column 2,Column 3,Column 4,key column
0,datetime,WORK_OF_ART,UNKNOWN,WORK_OF_ART,1
1,datetime,WORK_OF_ART,UNKNOWN,WORK_OF_ART,1
