TableNum,column_number,Column 1,Column 2,Column 3,Column 4,Column 5,key column
0,4,datetime,UNKNOWN,ORG,UNKNOWN,,1
1,5,CARDINAL,ORG,UNKNOWN,PERSON,datetime,2
