TableNum,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,key column
0,ORDINAL,DATE,ORG,,UNKNOWN,CARDINAL,PERSON,DATE,UNKNOWN,,2
1,ORDINAL,DATE,ORG,,UNKNOWN,UNKNOWN,PERSON,PERSON,DATE,UNKNOWN,2
2,ORDINAL,DATE,UNKNOWN,UNKNOWN,DATE,PERSON,DATE,UNKNOWN,,,2
3,ORDINAL,DATE,UNKNOWN,UNKNOWN,DATE,PERSON,PERSON,DATE,UNKNOWN,,2
4,ORDINAL,DATE,UNKNOWN,UNKNOWN,CARDINAL,PERSON,PERSON,DATE,UNKNOWN,,2
5,CARDINAL,DATE,GPE,UNKNOWN,PERSON,PERSON,CARDINAL,UNKNOWN,,,2
6,PERSON,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,GPE,,,,0
7,UNKNOWN,,,,,,,,,,0
8,ORDINAL,GPE,DATE,UNKNOWN,PERSON,,CARDINAL,DATE,UNKNOWN,,1
