TableNum,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_number,key column
0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,6,0
1,UNKNOWN,PERSON,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,6,0
2,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,6,0
3,TYPOGRAPHICAL ELEMENT,PERSON,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,6,1
