TableNum,column_number,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,key column
0,8,datetime,UNKNOWN,UNKNOWN,UNKNOWN,ORG,CARDINAL,UNKNOWN,UNKNOWN,2
1,4,,,ORG,UNKNOWN,,,,,2
