TableNum,column_number,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,key column
0,9,ORDINAL,datetime,UNKNOWN,,UNKNOWN,UNKNOWN,PERSON,datetime,UNKNOWN,2
1,8,ORDINAL,datetime,UNKNOWN,UNKNOWN,UNKNOWN,PERSON,datetime,UNKNOWN,,2
2,9,ORDINAL,datetime,UNKNOWN,UNKNOWN,datetime,PERSON,PERSON,datetime,UNKNOWN,2
3,8,CARDINAL,datetime,GPE,LOC,PERSON,PERSON,datetime,UNKNOWN,,2
4,7,PERSON,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,GPE,,,0
5,1,UNKNOWN,,,,,,,,,0
6,9,ORDINAL,GPE,datetime,UNKNOWN,PERSON,,datetime,datetime,UNKNOWN,1
